"","ListID","SpeciesID","Freq"
"1","chatham","Acer rubrum",654
"2","chatham","Agrostis scabra",1
"3","chatham","Asclepias humistrata",1
"4","chatham","Carex gigantea",1
"5","chatham","Carex louisianica",1
"6","chatham","Carex lurida",1
"7","chatham","Carya alba",2
"8","chatham","Carya glabra",3
"9","chatham","Celtis occidentalis",2
"10","chatham","Cenchrus longispinus",1
"11","chatham","Cercis canadensis",1
"12","chatham","Chasmanthium laxum",1
"13","chatham","Clitoria mariana",1
"14","chatham","Cnidoscolus urens",2
"15","chatham","Coleataenia anceps",1
"16","chatham","Cornus florida",6
"17","chatham","Dichanthelium scoparium",1
"18","chatham","Diospyros virginiana",8
"19","chatham","Euthamia caroliniana",2
"20","chatham","Fraxinus americana",1
"21","chatham","Fraxinus pennsylvanica",2
"22","chatham","Gamochaeta falcata",1
"23","chatham","Gleditsia triacanthos",1
"24","chatham","Gordonia lasianthus",6
"25","chatham","Hordeum pusillum",1
"26","chatham","Ilex opaca",7
"27","chatham","Juglans nigra",4
"28","chatham","Juncus bufonius",1
"29","chatham","Juncus debilis",1
"30","chatham","Juncus dichotomus",1
"31","chatham","Juncus effusus",1
"32","chatham","Juncus marginatus",2
"33","chatham","Juncus megacephalus",1
"34","chatham","Juncus roemerianus",1
"35","chatham","Juniperus virginiana",34
"36","chatham","Liquidambar styraciflua",1039
"37","chatham","Liriodendron tulipifera",1
"38","chatham","Lyonia lucida",1
"39","chatham","Magnolia grandiflora",55
"40","chatham","Melothria pendula",1
"41","chatham","Morella cerifera",2
"42","chatham","Nyssa aquatica",16
"43","chatham","Nyssa biflora",964
"44","chatham","Nyssa sylvatica",6
"45","chatham","Oplismenus hirtellus",1
"46","chatham","Panicum commutatum",1
"47","chatham","Panicum scabriusculum",1
"48","chatham","Passiflora lutea",1
"49","chatham","Persea borbonia",109
"50","chatham","Phanopyrum gymnocarpon",1
"51","chatham","Phoradendron serotinum",2
"52","chatham","Pinus elliottii",587
"53","chatham","Pinus glabra",6
"54","chatham","Pinus palustris",41
"55","chatham","Pinus serotina",78
"56","chatham","Pinus taeda",1157
"57","chatham","Portulaca pilosa",1
"58","chatham","Prunus serotina",18
"59","chatham","Pterocaulon pycnostachyum",1
"60","chatham","Quercus alba",10
"61","chatham","Quercus bicolor",1
"62","chatham","Quercus douglasii",1
"63","chatham","Quercus falcata",19
"64","chatham","Quercus laurifolia",306
"65","chatham","Quercus margarettae",3
"66","chatham","Quercus michauxii",43
"67","chatham","Quercus nigra",560
"68","chatham","Quercus pagoda",62
"69","chatham","Quercus phellos",65
"70","chatham","Quercus shumardii",7
"71","chatham","Quercus stellata",15
"72","chatham","Quercus velutina",3
"73","chatham","Quercus virginiana",277
"74","chatham","Rhynchosia reniformis",1
"75","chatham","Sabal mexicana",4
"76","chatham","Sabal palmetto",116
"77","chatham","Sabatia paniculata",1
"78","chatham","Sapium sebiferum",1
"79","chatham","Sassafras albidum",4
"80","chatham","Scutellaria parvula",1
"81","chatham","Sideroxylon tenax",3
"82","chatham","Solidago fistulosa",1
"83","chatham","Spartina patens",1
"84","chatham","Taxodium ascendens",66
"85","chatham","Taxodium distichum",83
"86","chatham","Tillandsia usneoides",1
"87","chatham","Triodanis perfoliata",1
"88","chatham","Ulmus americana",21
"89","chatham","Urtica dioica",1
"90","chatham","Vernonia noveboracensis",2
"91","chatham","Vitis cinerea",1
"92","chatham","Vulpia elliotea",1
"93","chatham","Zizania aquatica",1
"94","chatham","Zizaniopsis miliacea",1
"95","fulton","Abelia xgrandiflora",1
"96","fulton","Acer barbatum",17
"97","fulton","Acer negundo",10
"98","fulton","Acer rubrum",359
"99","fulton","Acer saccharinum",1
"100","fulton","Acer saccharum",1
